0,1,2,3,4
Kirk Cousins,QB,32,"$21,000,000","$33,000,000"
Dalvin Cook,RB1,25,"$4,616,426","$12,600,000"
Alexander Mattison,RB2,22,"$880,543","$867,793"
C.J. Ham,FB,27,"$1,750,000","$3,000,000"
Adam Thielen,WR1,30,"$12,793,750","$16,050,000"
Justin Jefferson,WR2,21,"$2,385,964","$3,280,701"
Chad Beebe,WR3,26,"$750,000","$570,000"
Olabisi Johnson,WR4,23,"$693,572","$648,572"
Irv Smith,TE1,22,"$1,317,826","$1,449,609"
Kyle Rudolph IR,TE2,31,"$8,825,000","$9,000,000"
Riley Reiff,LT,32,"$10,200,000","$11,750,000"
Dakota Dozier,LG,29,"$840,000","$1,000,000"
Garrett Bradbury,C,25,"$2,927,925","$3,220,718"
Dru Samia,RG,23,"$859,279","$814,280"
Brian O'Neill,RT,25,"$1,201,810","$1,101,660"
Ifeadi Odenigbo,DE1,26,"$812,500","$615,000"
Jalyn Holmes,DE2,24,"$932,849","$797,850"
Shamar Stephen,DT1,29,"$5,033,333","$4,150,000"
Jaleel Johnson,DT2,26,"$994,591","$769,589"
Eric Wilson,LB1,26,"$3,259,000","$3,259,000"
Eric Kendricks,LB2,28,"$5,467,500","$10,000,000"
Troy Dye,LB4,24,"$717,880","$993,395"
Anthony Harris,S1,29,"$11,441,000","$11,441,000"
Harrison Smith,S2,31,"$10,750,000","$10,250,000"
Kris Boyd IR,CB1,24,"$658,198","$657,314"
Jeff Gladney,CB2,24,"$1,998,369","$2,747,758"
Britton Colquitt,P,35,"$1,816,666","$3,000,000"
Dan Bailey,K,32,"$2,150,000","$3,333,333"
Cam Newton,QB,31,"$1,137,500","$1,750,000"
Damien Harris IR,RB1,23,"$852,416","$907,784"
James White,RB2,28,"$4,593,750","$4,000,000"
Jakobi Meyers,WR1,24,"$678,333","$588,333"
Damiere Byrd,WR2,27,"$1,521,875","$1,600,000"
Isaiah Ford,WR3,24,"$48,529","$825,000"
Gunner Olszewski,WR4,24,"$631,715","$585,833"
Ryan Izzo IR,TE1,25,"$696,683","$632,268"
Rex Burkhead IR,TE2,30,"$2,925,000","$3,000,000"
Korey Cunningham,LT,25,"$750,000","$632,268"
Joe Thuney,LG,28,"$14,781,000","$14,781,000"
David Andrews,C,28,"$3,400,000","$3,000,000"
Shaq Mason,RG,27,"$8,587,500","$9,000,000"
Isaiah Wynn IR,RT,24,"$3,120,519","$2,860,476"
Deatrich Wise,DE1,26,"$2,278,140","$745,140"
Byron Cowart,DT1,24,"$720,449","$704,861"
Adam Butler,DT2,26,"$3,259,000","$3,259,000"
John Simon,LB1,30,"$2,675,000","$2,075,000"
Anfernee Jennings,LB2,23,"$835,794","$1,149,218"
Cassh Maluia,LB3,22,"$35,882","$610,000"
Chase Winovich,LB4,25,"$930,328","$956,828"
Devin McCourty,S1,33,"$5,400,000","$11,500,000"
Adrian Phillips,S2,28,"$2,500,000","$3,000,000"
Jason McCourty,CB1,33,"$5,550,000","$5,000,000"
Jonathan Jones,CB2,27,"$6,018,750","$7,000,000"
Jake Bailey,P,23,"$747,245","$702,245"
Nick Folk,K,36,"$705,882","$1,050,000"
Joe Cardona,LS,28,"$1,080,000","$1,077,500"
Drew Brees,QB,41,"$23,650,000","$25,000,000"
Alvin Kamara,RB1,25,"$4,076,193","$15,000,000"
Latavius Murray,RB2,30,"$4,050,000","$3,600,000"
Michael Burton,FB,28,"$887,500","$1,047,500"
Michael Thomas,WR1,27,"$7,000,000","$19,250,000"
Emmanuel Sanders,WR2,33,"$4,600,000","$12,000,000"
Tre'quan Smith,WR3,24,"$954,256","$855,131"
Marquez Callaway,WR4,22,"$576,274","$765,000"
Jared Cook,TE1,33,"$9,000,000","$7,500,000"
Adam Trautman,TE2,23,"$818,074","$1,124,851"
Terron Armstead,LT,29,"$8,325,000","$13,000,000"
Andrus Peat,LG,27,"$3,600,000","$11,500,000"
Erik McCoy,C,23,"$1,383,639","$1,519,437"
Cesar Ruiz,RG,21,"$2,305,310","$3,169,801"
Ryan Ramczyk,RT,26,"$2,829,131","$2,222,889"
Cameron Jordan,DE1,31,"$9,097,000","$17,500,000"
Trey Hendrickson,DE2,26,"$1,001,572","$793,947"
David Onyemata,DT1,28,"$3,500,000","$8,666,667"
Malcom Brown,DT2,27,"$5,943,750","$5,000,000"
Zack Baun,LB1,24,"$874,762","$1,202,797"
Alex Anzalone,LB2,26,"$1,025,148","$866,398"
Demario Davis,LB4,31,"$5,800,000","$9,000,000"
Marcus Williams,S1,24,"$1,985,595","$1,560,110"
Malcolm Jenkins,S2,33,"$3,800,000","$8,000,000"
Janoris Jenkins,CB1,32,"$4,050,000","$8,375,000"
Marshon Lattimore,CB2,24,"$4,887,136","$3,839,891"
Thomas Morstead,P,34,"$4,300,000","$3,962,500"
Wil Lutz,K,26,"$4,200,000","$4,050,000"
Zach Wood,LS,27,"$1,000,000","$1,195,000"
Daniel Jones,QB,23,"$5,922,740","$6,416,014"
Wayne Gallman,RB1,26,"$929,912","$704,912"
Dion Lewis,RB2,30,"$1,550,000","$1,550,000"
Elijhaa Penny IR,FB,27,"$1,210,000","$1,100,000"
Darius Slayton,WR1,23,"$733,497","$688,497"
Sterling Shepard,WR2,27,"$8,500,000","$10,250,000"
Golden Tate,WR3,32,"$10,352,942","$9,375,000"
Austin Mack,WR4,23,"$430,588","$610,000"
Evan Engram,TE1,26,"$3,410,371","$2,679,576"
Kaden Smith,TE2,23,"$675,000","$680,002"
Andrew Thomas,LT,21,"$5,881,016","$8,086,397"
Shane Lemieux,LG,23,"$696,785","$910,535"
Nick Gates,C,25,"$1,176,668","$3,412,500"
Kevin Zeitler,RG,30,"$12,500,000","$10,666,667"
Cameron Fleming,RT,28,"$3,437,500","$3,500,000"
Dexter Lawrence,DE1,23,"$3,010,918","$3,312,010"
Leonard Williams,DE2,26,"$16,126,000","$16,126,000"
Dalvin Tomlinson,DT1,26,"$1,454,759","$1,143,025"
Kyler Fackrell,LB1,29,"$4,600,000","$4,600,000"
David Mayo,LB2,27,"$3,550,000","$2,800,000"
Blake Martinez,LB3,26,"$10,000,000","$10,250,000"
Jabaal Sheard,LB4,31,"$485,298","$1,050,000"
Logan Ryan,S1,29,"$8,050,000","$10,333,333"
Jabrill Peppers,S2,25,"$1,875,271","$2,585,497"
James Bradberry,CB1,27,"$10,250,000","$14,500,000"
Madre Harper,CB2,23,"$502,352","$610,000"
Riley Dixon,P,27,"$2,785,000","$2,900,000"
Graham Gano,K,33,"$3,000,000","$4,666,667"
Casey Kreiter,LS,30,"$887,500","$1,047,500"
Joe Flacco,QB,35,"$1,275,000","$1,500,000"
Frank Gore IR,RB1,37,"$750,000","$1,050,000"
La'Mical Perine,RB2,22,"$746,919","$1,010,086"
Jamison Crowder,WR1,27,"$9,875,000","$9,500,000"
Breshad Perriman,WR2,27,"$6,437,500","$6,500,000"
Denzel Mims,WR3,23,"$926,181","$1,358,425"
Braxton Berrios,WR4,25,"$750,000","$644,602"
Chris Herndon,TE1,24,"$917,381","$792,841"
Ryan Griffin,TE2,30,"$3,160,073","$3,600,000"
Mekhi Becton,LT,21,"$3,353,827","$4,611,512"
Alex Lewis,LG,28,"$4,158,333","$6,200,000"
Connor McGovern,C,27,"$7,333,333","$9,000,000"
Greg Van Roten,RG,30,"$3,406,250","$3,500,000"
George Fant,RT,28,"$7,225,000","$9,100,000"
Henry Anderson,DE1,29,"$8,333,333","$8,400,000"
Quinnen Williams IR,DE2,23,"$7,453,629","$8,132,343"
Foley Fatukasi,DT1,25,"$793,563","$658,563"
Jordan Jenkins IR,LB1,26,"$3,937,500","$3,750,000"
Patrick Onwuasor IR,LB2,28,"$2,000,000","$2,000,000"
Neville Hewitt,LB3,27,"$2,000,000","$2,000,000"
Tarell Basham,LB4,26,"$825,000","$838,964"
Ashtyn Davis IR,S1,24,"$844,658","$1,229,346"
Marcus Maye,S2,26,"$2,085,378","$1,638,510"
Bryce Hall,CB1,23,"$590,124","$902,701"
Lamar Jackson,CB2,22,"$430,588","$695,000"
Braden Mann,P,23,"$654,275","$868,025"
Thomas Hennessy,LS,26,"$950,000","$1,100,000"
Ben Roethlisberger,QB,38,"$23,750,000","$34,000,000"
James Conner,RB1,25,"$1,001,572","$790,381"
Benny Snell Jr.,RB2,22,"$850,517","$805,517"
JuJu Smith-Schuster,WR1,24,"$1,335,023","$1,048,945"
Diontae Johnson,WR2,24,"$972,946","$1,070,241"
Chase Claypool,WR3,22,"$1,203,023","$1,654,156"
James Washington,WR4,24,"$1,227,639","$1,125,336"
Eric Ebron,TE1,27,"$3,500,000","$6,000,000"
Vance McDonald,TE2,30,"$3,827,500","$6,550,000"
Alejandro Villanueva,LT,32,"$8,390,000","$6,000,000"
Matt Feiler,LG,28,"$3,259,000","$3,259,000"
Maurkice Pouncey,C,31,"$7,525,000","$11,000,000"
David DeCastro,RG,30,"$9,797,500","$10,000,000"
Chuks Okorafor,RT,23,"$953,091","$851,841"
Stephon Tuitt,DE1,27,"$14,940,750","$12,000,288"
Isaiah Buggs,DT1,24,"$717,158","$672,158"
Cameron Heyward,DT2,31,"$9,301,250","$16,400,000"
Bud Dupree IR,LB1,27,"$15,828,000","$15,828,000"
Robert Spillane,LB2,25,"$616,178","$540,000"
Vince Williams,LB3,31,"$7,031,666","$6,200,000"
T.J. Watt,LB4,26,"$2,945,908","$2,314,642"
Minkah Fitzpatrick,S1,24,"$1,975,252","$4,111,943"
Terrell Edmunds,S2,23,"$2,917,578","$2,674,447"
Joe Haden,CB1,31,"$9,625,000","$11,200,000"
Steven Nelson,CB2,27,"$7,080,000","$8,500,000"
Jordan Berry,P,29,"$588,823","$910,000"
Chris Boswell,K,29,"$2,598,333","$4,201,500"
Kameron Canaday,LS,27,"$1,135,000","$1,212,500"
Nick Mullens IR,QB,25,"$750,000","$750,000"
JaMycal Hasty IR,RB1,24,"$415,882","$695,000"
Jerick McKinnon,RB2,28,"$2,910,000","$1,160,000"
Kyle Juszczyk,FB,29,"$6,700,000","$5,250,000"
Trent Taylor,WR1,26,"$800,485","$650,484"
River Cracraft,WR2,26,"$317,647","$675,000"
Richie James,WR3,25,"$698,558","$634,143"
Jordan Reed,TE1,30,"$1,050,000","$1,050,000"
Ross Dwelley,TE2,25,"$750,000","$750,000"
Justin Skule,LT,24,"$719,714","$674,714"
Laken Tomlinson,LG,28,"$4,410,000","$5,500,000"
Hroniss Grasu,C,29,"$802,941","$910,000"
Daniel Brunskill,RG,26,"$675,000","$675,000"
Mike McGlinchey,RT,26,"$5,092,302","$4,585,430"
Arik Armstead,DE1,27,"$6,000,000","$17,000,000"
Kerry Hyder,DE2,29,"$1,500,000","$1,500,000"
Javon Kinlaw,DT1,23,"$2,816,126","$3,872,173"
D.J. Jones,DT2,25,"$861,966","$636,964"
Dre Greenlaw,LB1,23,"$755,429","$710,429"
Fred Warner,LB2,24,"$1,096,547","$994,831"
Joe Walker,LB4,28,"$533,823","$825,000"
Jimmie Ward,S1,29,"$3,937,500","$9,500,000"
Jaquiski Tartt IR,S2,28,"$6,275,000","$6,500,000"
Jason Verrett,CB1,29,"$887,500","$1,047,500"
Emmanuel Moseley,CB2,24,"$675,000","$675,000"
Mitch Wishnowsky,P,28,"$866,018","$821,018"
Robbie Gould,K,38,"$4,972,059","$3,625,000"
Russell Wilson,QB,32,"$31,000,000","$35,000,000"
Travis Homer IR,RB1,22,"$666,588","$665,704"
DeeJay Dallas,RB2,22,"$733,600","$947,350"
Nick Bellore,FB,31,"$1,050,000","$1,050,000"
Tyler Lockett,WR1,28,"$12,450,000","$10,250,000"
D.K. Metcalf,WR2,23,"$1,042,284","$1,146,513"
David Moore,WR3,25,"$1,000,000","$825,000"
Freddie Swain,WR4,22,"$642,353","$856,103"
Greg Olsen,TE1,35,"$6,906,250","$7,000,000"
Will Dissly,TE2,24,"$912,567","$777,568"
Duane Brown,LT,35,"$12,562,500","$11,500,000"
Jordan Simmons,LG,26,"$675,000","$675,000"
Ethan Pocic,C,25,"$1,402,873","$1,102,258"
Damien Lewis,RG,23,"$891,298","$1,225,535"
Brandon Shell,RT,28,"$3,400,000","$4,500,000"
Carlos Dunlap,DE1,31,"$5,468,750","$13,550,000"
Alton Robinson,DE2,22,"$697,837","$911,587"
Poona Ford,DT1,25,"$752,668","$572,667"
Jarran Reed,DT2,28,"$9,350,000","$11,500,000"
K.J. Wright,LB1,31,"$10,000,000","$7,000,000"
Bobby Wagner,LB2,30,"$14,750,000","$18,000,000"
Jordyn Brooks,LB3,23,"$2,224,656","$3,058,902"
Quandre Diggs,S1,27,"$5,200,000","$6,200,000"
Ryan Neal,S2,25,"$555,882","$675,000"
Jayson Stanley IR,CB1,23,"$277,941","$675,000"
Quinton Dunbar IR,CB2,28,"$3,421,875","$1,900,000"
Michael Dickson,P,24,"$822,537","$687,538"
Jason Myers,K,29,"$3,600,000","$3,862,500"
Tyler Ott,LS,28,"$1,035,000","$1,100,000"
Tom Brady,QB,43,"$25,000,000","$25,000,000"
Ronald Jones II,RB1,23,"$1,928,702","$1,767,977"
Leonard Fournette,RB2,25,"$2,500,000","$2,000,000"
Mike Evans,WR1,27,"$8,387,500","$16,500,000"
Antonio Brown,WR2,32,"$1,250,000","$1,666,667"
Chris Godwin,WR3,24,"$2,331,041","$821,041"
Scott Miller,WR4,23,"$706,960","$661,960"
Rob Gronkowski,TE1,31,"$9,250,000","$9,000,000"
Cameron Brate,TE2,29,"$4,250,000","$6,800,000"
Donovan Smith,LT,27,"$14,500,000","$13,750,000"
Joe Haeg,LG,27,"$2,300,000","$2,300,000"
Ryan Jensen,C,29,"$10,000,000","$10,500,000"
Alex Cappa IR,RG,25,"$948,426","$842,176"
Tristan Wirfs,RT,21,"$2,950,550","$4,057,007"
Ndamukong Suh,DE1,33,"$8,000,000","$8,000,000"
William Gholston,DE2,29,"$4,750,000","$5,500,000"
Rakeem Nunez-Roches,DT1,27,"$1,500,000","$1,500,000"
Shaquil Barrett,LB1,28,"$15,828,000","$15,828,000"
Devin White,LB2,22,"$6,752,685","$7,328,954"
Lavonte David,LB3,30,"$10,750,000","$10,050,000"
Jason Pierre-Paul,LB4,31,"$12,800,000","$12,500,000"
Jordan Whitehead,S1,23,"$916,814","$781,814"
Antoine Winfield Jr.,S2,22,"$1,328,579","$1,826,796"
Carlton Davis,CB1,24,"$1,198,122","$1,098,278"
Sean Bunting,CB2,23,"$1,676,363","$1,844,000"
Bradley Pinion,P,26,"$2,700,000","$2,750,000"
Ryan Succop,K,34,"$750,000","$1,050,000"
Zach Triner,LS,29,"$675,000","$540,000"
Ryan Tannehill,QB,32,"$22,500,000","$29,500,000"
Derrick Henry,RB1,26,"$6,000,000","$12,500,000"
Jeremy McNichols,RB2,25,"$661,764","$650,000"
A.J. Brown,WR1,23,"$1,284,629","$1,413,092"
Corey Davis,WR2,25,"$8,170,137","$6,348,672"
Kalif Raymond,WR3,26,"$825,000","$690,000"
Cameron Batson,WR4,25,"$357,354","$762,500"
Jonnu Smith,TE1,25,"$2,309,572","$776,572"
Anthony Firkser,TE2,25,"$750,000","$750,000"
Ty Sambrailo IR,LT,28,"$1,568,750","$1,600,000"
Rodger Saffold,LG,32,"$12,343,750","$11,000,000"
Ben Jones,C,31,"$6,250,000","$6,750,000"
Nate Davis,RG,24,"$908,670","$925,045"
Dennis Kelly,RT,30,"$3,583,333","$5,750,000"
Jeffery Simmons,DE1,23,"$2,878,126","$3,165,939"
DaQuan Jones,DT1,29,"$8,333,334","$7,000,000"
Jack Crawford,DT2,32,"$887,500","$1,187,500"
Harold Landry,LB1,24,"$1,836,460","$1,683,422"
Jayon Brown IR,LB2,25,"$2,200,889","$667,888"
Rashaan Evans,LB3,25,"$3,157,416","$2,894,298"
Wyatt Ray,LB4,24,"$79,411","$675,000"
Kevin Byard,S1,27,"$4,748,000","$14,100,000"
Kenny Vaccaro,S2,29,"$6,656,250","$6,000,000"
Malcolm Butler,CB1,30,"$13,600,000","$12,250,000"
Desmond King,CB2,26,"$1,129,235","$669,998"
Stephen Gostkowski,K,36,"$2,562,500","$2,750,000"
Kyle Allen IR,QB,24,"$675,000","$675,000"
Antonio Gibson,RB1,22,"$896,843","$1,233,159"
J.D. McKissic,RB2,27,"$1,610,000","$1,635,000"
Terry McLaurin,WR1,25,"$932,256","$961,918"
Steven Sims Jr.,WR2,23,"$621,176","$590,000"
Cam Sims,WR3,24,"$595,588","$540,000"
Isaiah Wright,WR4,23,"$611,666","$763,333"
Logan Thomas,TE1,29,"$2,535,000","$3,072,500"
Jeremy Sprinkle,TE2,26,"$2,202,128","$669,126"
Cornelius Lucas,LT,29,"$1,628,750","$1,900,000"
Wes Schweitzer,LG,27,"$2,500,000","$4,500,000"
Chase Roullier,C,27,"$3,969,792","$10,125,000"
Brandon Scherff,RG,29,"$15,030,000","$15,030,000"
Morgan Moses,RT,29,"$8,650,000","$7,700,000"
Chase Young,DE1,21,"$6,284,290","$8,640,899"
Montez Sweat,DE2,24,"$2,645,741","$2,910,315"
Jonathan Allen,DT1,25,"$3,689,756","$2,899,094"
Da'Ron Payne,DT2,23,"$3,932,280","$3,604,590"
Cole Holcomb,LB1,24,"$733,721","$688,721"
Jon Bostic,LB2,29,"$2,635,000","$2,550,000"
Kevin Pierre-Louis,LB4,29,"$2,956,250","$3,000,000"
Deshazor Everett IR,S1,28,"$1,456,875","$2,000,000"
Kamren Curl,S2,21,"$638,332","$852,082"
Kendall Fuller,CB1,25,"$4,125,000","$10,000,000"
Ronald Darby,CB2,26,"$2,812,500","$3,000,000"
Tress Way,P,30,"$2,600,000","$3,412,500"
Dustin Hopkins,K,30,"$3,300,358","$2,483,333"
Nick Sundberg,LS,33,"$1,202,500","$1,100,000"
