Name1,Name2,Name3,Name4,Name5,Salary,FPPG
Tom Brady,Dak Prescott,CeeDee Lamb,Antonio Brown,Dalton Schultz,57000,95.25224959055582
Dak Prescott,Tom Brady,Antonio Brown,Ryan Succop,Rob Gronkowski,56500,95.24799995422362
Tom Brady,Dak Prescott,CeeDee Lamb,Greg Zuerlein,Rob Gronkowski,57000,95.24224961598713
Tom Brady,Dak Prescott,Ronald Jones II,Greg Zuerlein,O.J. Howard,55500,95.2364402696198
Tom Brady,Dak Prescott,Leonard Fournette,Ryan Succop,Dalton Schultz,57500,95.22099984486897
Dak Prescott,Tom Brady,Michael Gallup,Antonio Brown,O.J. Howard,56000,95.22049961090087
Tom Brady,Dak Prescott,Chris Godwin,Greg Zuerlein,Tony Pollard,59500,95.20225003560384
Dak Prescott,Tom Brady,Ezekiel Elliott,Tony Pollard,Dalton Schultz,59500,95.17549966176351
Tom Brady,Dak Prescott,Amari Cooper,Ryan Succop,Dalton Schultz,58500,95.15849984486897
Dak Prescott,Tom Brady,CeeDee Lamb,Rob Gronkowski,O.J. Howard,55500,95.14174925486246
Tom Brady,Dak Prescott,Chris Godwin,Michael Gallup,Dalton Schultz,59500,95.13975003560384
Dak Prescott,Tom Brady,Ronald Jones II,Ryan Succop,Tony Pollard,57000,95.11094086216944
Tom Brady,Dak Prescott,Michael Gallup,Antonio Brown,Ryan Succop,58000,95.10849997202554
Dak Prescott,Tom Brady,Chris Godwin,Tony Pollard,O.J. Howard,58000,95.10174967447917
Dak Prescott,Tom Brady,CeeDee Lamb,Michael Gallup,Tony Pollard,58000,95.08924986521403
Tom Brady,Dak Prescott,Ezekiel Elliott,Dalton Schultz,O.J. Howard,58500,95.08849906921387
Dak Prescott,Tom Brady,Mike Evans,Tony Pollard,Rob Gronkowski,59500,95.07300001780192
Dak Prescott,Tom Brady,Ryan Succop,Greg Zuerlein,O.J. Howard,54500,95.07049929300943
Tom Brady,Dak Prescott,CeeDee Lamb,Ryan Succop,Rob Gronkowski,57500,95.02974961598713
Tom Brady,Dak Prescott,Ronald Jones II,Ryan Succop,O.J. Howard,56000,95.0239402696198
Tom Brady,Dak Prescott,CeeDee Lamb,Michael Gallup,O.J. Howard,57000,95.00224927266439
Dak Prescott,Tom Brady,Leonard Fournette,Rob Gronkowski,Dalton Schultz,56500,94.99800001780191
Tom Brady,Dak Prescott,Chris Godwin,Ryan Succop,Tony Pollard,60000,94.98975003560383
Tom Brady,Dak Prescott,Mike Evans,Rob Gronkowski,O.J. Howard,58500,94.98599942525227
