Name1,Name2,Name3,Name4,Name5,Name1Team,Name2Team,Name3Team,Name4Team,Name5Team,Name1Position,Name2Position,Name3Position,Name4Position,Name5Position,Salary,FPPG,p_id1,p_id2,p_id3,p_id4,p_id5
Christian McCaffrey,Sam Darnold,Zane Gonzalez,David Johnson,Anthony Miller,CAR,CAR,CAR,HOU,HOU,RB1,QB,K,RB2,WR3,55500,87.03294215482825,64289-55050,64289-63589,64289-39369,64289-62497,64289-41936
Christian McCaffrey,Sam Darnold,Brandon Zylstra,Zane Gonzalez,Jordan Akins,CAR,CAR,CAR,CAR,HOU,RB1,QB,WR4,K,TE2,55500,86.88000071048737,64289-55050,64289-63589,64289-82731,64289-39369,64289-57338
Christian McCaffrey,Sam Darnold,Robby Anderson,David Johnson,Anthony Miller,CAR,CAR,CAR,HOU,HOU,RB1,QB,WR2,RB2,WR3,56000,86.78294215482825,64289-55050,64289-63589,64289-26251,64289-62497,64289-41936
Christian McCaffrey,Sam Darnold,Robby Anderson,Brandon Zylstra,Jordan Akins,CAR,CAR,CAR,CAR,HOU,RB1,QB,WR2,WR4,TE2,56000,86.63000071048737,64289-55050,64289-63589,64289-26251,64289-82731,64289-57338
Christian McCaffrey,Sam Darnold,Brandon Zylstra,Davis Mills,Chris Conley,CAR,CAR,CAR,HOU,HOU,RB1,QB,WR4,QB,WR2,58500,86.510000705719,64289-55050,64289-63589,64289-82731,64289-89628,64289-30403
Christian McCaffrey,Sam Darnold,Robby Anderson,Dan Arnold,Joey Slye,CAR,CAR,CAR,CAR,HOU,RB1,QB,WR2,TE1,K,59000,86.4300012588501,64289-55050,64289-63589,64289-26251,64289-80546,64289-56378
Christian McCaffrey,Sam Darnold,Brandon Zylstra,Jordan Akins,Joey Slye,CAR,CAR,CAR,HOU,HOU,RB1,QB,WR4,TE2,K,55000,86.38000071048737,64289-55050,64289-63589,64289-82731,64289-57338,64289-56378
Christian McCaffrey,Sam Darnold,DJ Moore,Anthony Miller,Jordan Akins,CAR,CAR,CAR,HOU,HOU,RB1,QB,WR1,WR3,TE2,58500,86.28294179720038,64289-55050,64289-63589,64289-63043,64289-41936,64289-57338
Christian McCaffrey,Sam Darnold,Brandon Zylstra,Dan Arnold,Anthony Miller,CAR,CAR,CAR,CAR,HOU,RB1,QB,WR4,TE1,WR3,52500,86.23294196409338,64289-55050,64289-63589,64289-82731,64289-80546,64289-41936
Christian McCaffrey,Sam Darnold,Zane Gonzalez,Mark Ingram II,Chris Conley,CAR,CAR,CAR,HOU,HOU,RB1,QB,K,RB1,WR2,60000,86.13000106811523,64289-55050,64289-63589,64289-39369,64289-14211,64289-30403
Christian McCaffrey,Sam Darnold,Zane Gonzalez,Davis Mills,Anthony Miller,CAR,CAR,CAR,HOU,HOU,RB1,QB,K,QB,WR3,59500,86.0129421739017,64289-55050,64289-63589,64289-39369,64289-89628,64289-41936
Christian McCaffrey,Sam Darnold,Robby Anderson,Dan Arnold,David Johnson,CAR,CAR,CAR,CAR,HOU,RB1,QB,WR2,TE1,RB2,58000,85.9300012588501,64289-55050,64289-63589,64289-26251,64289-80546,64289-62497
